11 Com b,326.03,6165.6,12.1,19.1,93.37,4742,2.243,2.7,19
11 UMi b,516.21997,4684.8142,12.3,13.8,125.72,4213,2.43,2.78,29.79
14 And b,185.84,1525.5,12.9,3.9,75.59,4813,1.763,2.2,11
14 Her b,1773.40002,1481.0878,12.9,3.79,17.94,5338,-0.151,0.9,0.93
16 Cyg B b,798.5,565.7374,13.5,1.26,21.41,5750,0.1,1.08,1.13
18 Del b,993.3,3273.5,12.5,9.21,76.38,4979,1.602,2.3,8.5
1RXS J160929.1-210524 b,,3000,18.647,2.54,145,4060,-0.37,0.85,1.18
24 Boo b,30.3506,289.2253,13.9,0.592,96.25,4893,1.774,0.99,10.64
24 Sex b,452.8,632.46,13.4,1.44,72.21,5098,1.164,1.54,4.9
24 Sex c,883,273.32,13.9,0.559,72.21,5098,1.164,1.54,4.9
2MASS J01225093-2439505 b,,7786.5,11.209,30.4,36,3530,-1.72,0.4,
2MASS J02192210-3925225 b,,4417.837,16.141,5.77,39.4,3064,-2.23,0.11,0.28
2MASS J04414489+2301513 b,,2383.6,12.6,6.55,140,,,0.02,
2MASS J12073346-3932539 b,,1271,13,3.18,52.4,,,0.02,
2MASS J19383260+4603591 b,416,603.877,13.4,1.38,396.36,10868,0.168,0.48,0.34
2MASS J21402931+1625183 A b,7336.5,6657.48,10.31,33.4,25,2300,-3.48,0.08,0.12
2MASS J22362452+4751425 b,,3972.875,12.3,11.7,74,4045,-1.021,0.6,0.62
30 Ari B b,335.10001,4392.4106,12.3,13,44.71,6331,0.381,1.93,1.41
4 UMa b,269.3,2256.5,12.7,6.05,73.58,4415,2.062,1.23,18.11
42 Dra b,479.1,1233.13,13,3.08,90.86,4200,2.155,0.98,22.03
47 UMa b,1078,804.08,13.2,1.92,13.8,5892,0.216,1.03,1.23
47 UMa c,2391,171.621,14.2,0.329,13.8,5892,0.216,1.03,1.23
47 UMa d,14002,521.22,13.5,1.16,13.8,5892,0.216,1.03,1.23
51 Eri b,14965,635.66,13.4,1.45,29.4,7190.1,0.85,1.75,1.56
51 Peg b,4.230785,146.2018,14.3,0.275,15.47,5793,0.147,1.12,1.2
55 Cnc b,14.65152,263.9785,13.9,0.54,12.59,5196,-0.235,0.91,0.94
55 Cnc c,44.4175,54.4738,8.51,0.486,12.59,5196,-0.235,0.91,0.94
55 Cnc d,4825,1232.493,13,3.08,12.59,5196,-0.235,0.91,0.94
55 Cnc e,0.736539,8.08,1.91,6.4,12.59,5196,-0.235,0.91,0.94
55 Cnc f,262,44.812,7.59,0.563,12.59,5196,-0.235,0.91,0.94
6 Lyn b,934.3,638.8383,13.4,1.46,54.74,4938,1.156,1.44,5.2
61 Vir b,4.215,5.1,2.11,2.98,8.51,5577,-0.095,0.94,0.96
61 Vir c,38.021,18.2,4.46,1.13,8.51,5577,-0.095,0.94,0.96
61 Vir d,123.01,22.9,5.11,0.943,8.51,5577,-0.095,0.94,0.96
7 CMa b,796,781.8618,13.3,1.83,19.82,4792,1.053,1.52,2.3
70 Vir b,116.688,2380.45,12.6,6.54,17.91,5495,0.487,1.09,1.89
75 Cet b,691.9,953.49,13.1,2.33,83.15,4846,1.73,2.49,10.5
8 UMi b,93.4,416.3573,13.6,0.91,159.1,4847,1.725,1.44,10.3
81 Cet b,952.7,1684.4,12.8,4.41,101.53,4785,1.778,2.4,11
91 Aqr b,181.4,1017,13.1,2.49,44.08,4665,1.692,1.4,11
AB Pic b,,4290.5,12.3,12.7,50.12,5378,-0.226,0.9,1
BD+03 2562 b,481.9,2034.112,12.7,5.46,2618,4095,2.7,1.14,32.35
BD+14 4559 b,268.94,330.5432,13.8,0.691,49.42,4864,-0.424,0.49,0.86
BD+15 2375 b,153.22,337.21763,13.8,0.705,774,4649,1.57,1.08,8.95
BD+15 2940 b,137.48,352.78,13.7,0.754,431.61,4796,2.01,1.1,14.7
BD+20 2457 b,379.63,17668.1697,11.6,62.2,200,4259,2.768,10.83,71.02
BD+20 2457 c,621.99,3963.17,12.4,11.4,200,4259,2.768,10.83,71.02
BD+20 274 b,578.2,1334.886,13,3.34,1383.85,4296,1.96,0.8,17.3
BD+20 594 b,41.6855,22.2481,2.578,7.89,180.39,5766,0.05,1.67,1.08
BD+48 738 b,392.6,289.2253,13.9,0.592,892.17,4414,1.69,0.74,11
BD+48 740 b,733,540.311,13.5,1.21,678.94,4534,1.64,1.09,10.33
BD+49 828 b,2590,508.5,13.5,1.14,447.59,4943,1.47,1.52,7.6
BD-06 1339 b,3.8728,8.5,2.85,2.02,20.28,4324,-1.022,0.7,0.67
BD-06 1339 c,125.94,53,8.38,0.495,20.28,4324,-1.022,0.7,0.67
BD-08 2823 b,5.6,12.7132,3.61,1.48,41.38,4816,-0.626,0.5,0.71
BD-08 2823 c,237.6,104,12.5,0.293,41.38,4816,-0.626,0.5,0.71
BD-10 3166 b,3.48777,187.5197,14.1,0.368,80,5393,-0.191,1.47,0.91
BD-11 4672 b,1667,168.44,14.2,0.323,27.3,4475,-0.881,0.57,0.52
BD-13 2130 b,714.29999,3108.3774,12.5,8.75,766,4545,2.043,2.12,19.17
BD-17 63 b,655.59998,905.8155,13.2,2.16,34.49,4665,-0.651,0.31,0.74
CFBDSIR J145829+101343 b,10037.5,3337.1,12.4,9.62,23.1,580.5,,0.02,
CHXR 73 b,,3994.486,12.3,11.8,191.05,,,0.35,
CT Cha b,,5403,24.66,1.98,165,4200.2,-0.102,,1.68
CoRoT-1 b,1.5089557,327.35,16.7,0.38,805.31,5950,0.298,0.95,1.11
CoRoT-10 b,13.2406,874,10.87,3.7,345,5075,-0.726,0.89,0.79
CoRoT-11 b,2.99433,740.51,16.03,0.99,560,6440,0.378,1.27,1.37
CoRoT-12 b,2.828042,291.438,16.14,0.411,1150,5675,-0.128,1.08,1.12
CoRoT-13 b,4.03519,415.704,9.92,2.34,1060,5945,0.073,1.09,1.01
CoRoT-14 b,1.51214,2415.4,12.22,7.3,1340,6035,0.119,1.13,1.21
CoRoT-16 b,5.35227,170.032,13.11,0.44,840,5650,-0.435,1.1,1.19
CoRoT-17 b,3.7681,772.29,11.43,2.82,920,5740,0.134,1.04,1.59
CoRoT-18 b,1.9000693,1102.82,14.68,2.2,870,5440,-0.226,0.95,1
CoRoT-19 b,3.89713,352.78,14.46,0.71,770,6090,0.544,1.21,1.65
CoRoT-2 b,1.7429935,1102.82,16.432,1.47,200,5625,-0.321,0.96,0.91
CoRoT-20 b,9.24285,1366.669,9.42,8.87,864.31,4947.5,0.006,1.14,1.37
CoRoT-20 c,1675,5403.11,12.2,16.4,864.31,4947.5,0.006,1.14,1.37
CoRoT-21 b,2.72474,718.2958,14.572,1.36,1398.83,6200,0.705,1.29,1.95
CoRoT-22 b,9.75598,12.2,4.88,0.249,592,5939,0.014,1.1,1.14
CoRoT-23 b,3.6313,889.9,11.77,3,600,5900,0.087,1.14,1.61
CoRoT-24 b,5.1134,5.7,3.7,0.9,600,4950,-0.601,0.91,0.86
CoRoT-24 c,11.759,28,5,1.3,600,4950,-0.601,0.91,0.86
CoRoT-25 b,4.86069,85.81,12.11,0.15,1000,6040,0.141,1.09,1.19
CoRoT-26 b,4.20474,165.26,14.12,0.28,1670,5590,0.451,1.09,1.79
CoRoT-27 b,3.57532,3302.11,11.287,12.6,1035.15,5900,-0.166,1.05,1.08
CoRoT-28 b,5.20851,153.82972,10.705,0.69,560,5150,0.388,1.01,1.78
CoRoT-29 b,2.85057,270.1555,10.088,1.45,765,5260,-0.347,0.97,0.9
CoRoT-3 b,4.2568,6883.91,11.32,26.4,680,6740,0.391,1.37,1.56
CoRoT-4 b,9.20205,228.83,13.34,0.525,741.6,6190,0.185,1.16,1.17
CoRoT-5 b,4.0378962,148.42,15.558,0.217,904.65,6100,0.223,1,1.19
CoRoT-6 b,8.886593,940.74,13.068,2.32,657.24,6090,0.026,1.05,1.02
CoRoT-7 b,0.85359163,3.1783,1.681,6.61,153.7,5275,-0.292,0.82,0.83
CoRoT-7 c,3.698,8.4,2.83,2.04,153.7,5275,-0.292,0.82,0.83
CoRoT-8 b,6.21229,69.92,6.39,1.6,380,5080,-0.665,0.88,0.77
CoRoT-9 b,95.272656,266.9772,11.949,0.86,460,5625,-0.254,0.96,0.96
CoRoTID 223977153 b,6.71837,47.6745,6.389,1.1,586.2,5970,-0.155,1.08,0.79
DENIS-P J082303.1-491201 b,246.36,9057.77,11.9,29.5,20.77,,,0.07,
DH Tau b,,3496,30.264,0.693,140,3751.5,-0.569,0.33,0.27
DP Leo b,10220,1995.88832,12.7,5.35,,,,0.69,
